1, 4, 4, 368, 340, 314, 288
2, 5, 6, 501, 491, 471, 450
3, 3, 10, 220, 190, 171, 160
4, 4, 14, 371, 351, 335, 317
5, 4, 12, 350, 325, 290, 272
6, 5, 18, 489, 479, 450, 419
7, 4, 8, 372, 352, 331, 304
8, 4, 16, 310, 284, 262, 233
9, 4, 2, 396, 364, 341, 324
10, 5, 15, 464, 456, 437, 380
11, 3, 13, 145, 135, 114, 99
12, 4, 17, 313, 295, 267, 235
13, 3, 11, 159, 149, 138, 106
14, 4, 3, 388, 368, 346, 325
15, 4, 5, 338, 324, 305, 285
16, 5, 9, 566, 503, 484, 464
17, 3, 7, 190, 175, 144, 127
18, 4, 1, 448, 412, 388, 370
